iter	RMSE
0	2853338689
1	2720631312
2	2614021047
3	2498439208
4	2393039205
5	2323055241
6	2243691353
7	2181380839
8	2129406396
9	2081124901
10	2031677787
11	1981627122
12	1943896960
13	1907036766
14	1882955087
15	1848746421
16	1824466641
17	1800495103
18	1774051449
19	1750842968
20	1730800716
21	1717670563
22	1697014732
23	1676819983
24	1661749257
25	1647784509
26	1632993022
27	1621065829
28	1612736809
29	1596771475
30	1586333643
31	1575308244
32	1564864646
33	1555820457
34	1545574236
35	1537712005
36	1528341574
37	1518123541
38	1508556127
39	1500223687
40	1493924505
41	1485873572
42	1479885875
43	1472426384
44	1467343939
45	1462321780
46	1456971848
47	1449908746
48	1443336288
49	1437907689
50	1434693875
51	1430067871
52	1425432875
53	1421386794
54	1416007704
55	1410262836
56	1405713132
57	1401116272
58	1398174941
59	1391458551
60	1387904676
61	1382877199
62	1377723222
63	1373074775
64	1369898322
65	1366133348
66	1362467710
67	1357611948
68	1352875901
69	1349599560
70	1346290267
71	1342375367
72	1339970582
73	1335862401
74	1330985702
75	1328321260
76	1324404453
77	1321491987
78	1318379412
79	1316966384
80	1313852921
81	1309468014
82	1305427485
83	1301541269
84	1297891216
85	1294137447
86	1290436014
87	1287376387
88	1283755635
89	1279162683
90	1276397739
91	1272122392
92	1268161211
93	1264350860
94	1260617391
95	1257544649
96	1255010690
97	1252509124
98	1248456900
99	1245216323
100	1241806143
101	1238880271
102	1235713229
103	1232333408
104	1229136127
105	1226811040
106	1223509999
107	1221159416
108	1218732699
109	1216711394
110	1214336213
111	1212651648
112	1210946467
113	1209449680
114	1208520505
115	1205660594
116	1202998319
117	1200165481
118	1197265809
119	1194398224
120	1192098123
121	1190816630
122	1189584010
123	1187290836
124	1185361504
125	1184676393
126	1181637696
127	1179088576
128	1176541855
129	1174370043
130	1171704547
131	1170618972
132	1169235108
133	1166861732
134	1164474537
135	1163850193
136	1162395490
137	1160349230
138	1157738203
139	1154961432
140	1153549422
141	1151531809
142	1149762062
143	1147956206
144	1147353951
145	1146779294
146	1145120743
147	1143731537
148	1140971659
149	1139212921
150	1137436344
151	1134503081
152	1133381057
153	1132801972
154	1131045208
155	1128412528
156	1125997055
157	1124906636
158	1124380157
159	1122809580
160	1121237342
161	1120703941
162	1118617089
163	1117426402
164	1115342353
165	1113903650
166	1112385848
167	1111043030
168	1108473540
169	1107981327
170	1107022536
171	1105087445
172	1103853721
173	1102251149
174	1100076164
175	1098204659
176	1097704936
177	1096226241
178	1094923474
179	1094179339
180	1092550524
181	1091122306
182	1089295407
183	1088813319
184	1086897082
185	1085428138
186	1083331937
187	1082446678
188	1080214467
189	1079240896
190	1077157905
191	1076693476
192	1075044142
193	1073205185
194	1072401979
195	1071129152
196	1070696153
197	1070281881
198	1069348176
199	1068599416
200	1067049853
201	1065838294
202	1064924837
203	1063364788
204	1061086267
205	1060126782
206	1059457894
207	1057924487
208	1057260222
209	1054737760
210	1053745408
211	1052610147
212	1051372085
213	1050954281
214	1050149628
215	1048331821
216	1047654746
217	1046899786
218	1044792362
219	1043940836
220	1042137504
221	1041734949
222	1040071327
223	1039649260
224	1037614729
225	1037209122
226	1036617251
227	1035973308
228	1035598671
229	1035239747
230	1034901048
231	1034016897
232	1032940395
233	1031627814
234	1031293707
235	1030199217
236	1028998939
237	1028048386
238	1027448039
239	1026684953
240	1026363535
241	1024140316
242	1023085312
243	1021849768
244	1020344171
245	1018566600
246	1017288775
247	1016299485
248	1015098245
249	1013218193
250	1011700202
251	1010954779
252	1010106092
253	1009485896
254	1008219306
255	1006941871
256	1006233712
257	1005669489
258	1004317795
259	1002467404
260	1001878046
261	1001321556
262	999851259.4
263	999226899.6
264	998122647.1
265	997237413.5
266	996020577.9
267	994660175
268	993603120.9
269	992312458.5
270	991769139.9
271	991249016.6
272	990929854
273	989619547.2
274	988276695.1
275	987384104.8
276	986726808.5
277	986420002.9
278	985426883
279	983644175.2
280	982334701.6
281	980805958.4
282	980022274.6
283	979476279.4
284	978940842.7
285	978504049.2
286	977685064.4
287	977114484
288	976611536
289	976317336
290	975130406.7
291	973799665.7
292	972361144.5
293	971529586.5
294	970630247.4
295	969933571.1
296	968884414.1
297	968370142.9
298	967393189.7
299	966285814.6
300	965946158.3
301	964694655.4
302	963254092.7
303	962109087
304	961826798.3
305	961305282.1
306	959371611
307	958455932.2
308	956879739.8
309	956001367.8
310	954877552.2
311	953943647.6
312	952889934.5
313	951721265.9
314	951039324.8
315	950143716
316	949155950.7
317	948878431.1
318	948153413.4
319	947663604.1
320	947240348.7
321	946756827.3
322	945480415.6
323	945074885.1
324	944591500.6
325	944325328.6
326	943470826.4
327	943080643.2
328	942821695.4
329	942312606.8
330	941872806.4
331	941028360
332	940150869.3
333	938664982.7
334	937969982.6
335	937537782.3
336	936560490
337	935645585.4
338	934823887.6
339	934029024.7
340	933608847.1
341	933210443.4
342	931727580.4
343	931460206.1
344	930473905.8
345	929216415.8
346	928077290.8
347	927833279.9
348	927182078.9
349	926137160.1
350	925766802.6
351	925384039.3
352	924975463.5
353	924726611
354	923183437
355	922328134.9
356	921854434.8
357	920701753.8
358	920206218.6
359	919521038.1
360	918970574.2
361	917712684.1
362	917163420.7
363	916922344.2
364	916126092.7
365	915795944.7
366	915223640
367	914344564.4
368	914103515.5
