iter	Passed	Remaining
0	134	134634
1	139	69669
2	142	47386
3	144	36058
4	146	29202
5	148	24609
6	150	21288
7	151	18810
8	153	16871
9	154	15327
10	156	14069
11	158	13069
12	160	12173
13	161	11396
14	163	10709
15	164	10124
16	166	9614
17	167	9157
18	169	8749
19	171	8380
20	172	8046
21	174	7768
22	176	7491
23	177	7233
24	179	7000
25	181	6782
26	182	6582
27	184	6392
28	185	6216
29	187	6055
30	188	5904
31	191	5785
32	192	5654
33	194	5528
34	196	5413
35	198	5305
36	200	5214
37	203	5160
38	205	5069
39	207	4987
40	209	4896
41	210	4809
42	212	4726
43	214	4650
44	215	4575
45	217	4504
46	218	4433
47	220	4367
48	221	4306
49	223	4244
50	224	4184
51	226	4127
52	227	4071
53	229	4021
54	231	3970
55	232	3922
56	234	3875
57	235	3831
58	237	3789
59	239	3747
60	240	3706
61	242	3666
62	243	3627
63	245	3590
64	247	3553
65	248	3517
66	250	3483
67	251	3450
68	253	3418
69	254	3387
70	256	3356
71	258	3326
72	259	3296
73	261	3268
74	262	3241
75	264	3213
76	265	3188
77	267	3162
78	269	3137
79	270	3105
80	271	3082
81	273	3059
82	274	3036
83	276	3014
84	278	2992
85	279	2970
86	281	2950
87	283	2932
88	284	2915
89	286	2896
90	288	2879
91	290	2862
92	291	2846
93	293	2829
94	295	2812
95	296	2796
96	298	2782
97	300	2765
98	302	2751
99	304	2737
100	305	2721
101	307	2708
102	309	2695
103	311	2681
104	313	2669
105	314	2656
106	316	2644
107	318	2629
108	319	2614
109	321	2599
110	322	2586
111	324	2573
112	326	2560
113	327	2546
114	329	2534
115	330	2521
116	332	2513
117	334	2502
118	336	2490
119	337	2478
120	339	2465
121	340	2453
122	342	2440
123	343	2429
124	345	2418
125	346	2406
126	348	2396
127	350	2388
128	352	2378
129	354	2369
130	355	2361
131	357	2351
132	359	2341
133	361	2333
134	362	2325
135	364	2316
136	367	2313
137	369	2306
138	371	2299
139	373	2292
140	374	2283
141	376	2274
142	378	2265
143	379	2256
144	381	2247
145	383	2241
146	384	2232
147	386	2223
148	387	2215
149	389	2206
150	390	2198
151	392	2190
152	394	2181
153	395	2173
154	397	2165
155	398	2157
156	400	2151
157	402	2145
158	404	2142
159	406	2134
160	408	2126
161	409	2119
162	411	2111
163	412	2104
164	414	2099
165	416	2092
166	418	2085
167	419	2077
168	421	2070
169	422	2063
170	424	2056
171	425	2049
172	427	2042
173	428	2036
174	431	2032
175	432	2026
176	434	2019
177	435	2012
178	437	2006
179	438	1999
180	440	1992
181	441	1986
182	443	1980
183	445	1975
184	447	1970
185	448	1964
186	450	1958
187	451	1952
188	453	1946
189	455	1940
190	456	1934
191	458	1928
192	460	1924
193	462	1921
194	464	1915
195	465	1910
196	467	1904
197	468	1898
198	470	1892
199	471	1886
200	473	1881
201	474	1875
202	476	1870
203	478	1867
204	480	1861
205	481	1856
206	483	1850
207	484	1845
208	486	1839
209	487	1835
210	489	1829
211	490	1824
212	492	1819
213	494	1816
214	496	1811
215	497	1806
216	499	1801
217	500	1796
218	502	1791
219	504	1786
220	505	1782
221	507	1776
222	508	1772
223	510	1768
224	512	1763
225	513	1758
226	515	1753
227	516	1748
228	517	1743
229	519	1739
230	521	1734
231	522	1729
232	523	1724
233	526	1723
234	528	1718
235	529	1714
236	531	1709
237	532	1705
238	534	1703
239	536	1699
240	538	1694
241	539	1690
242	541	1687
